"Yauatcha","+91 9222222800","Raheja Towers, Bandra Kurla Complex, Mumbai","Tea, Desserts, Chinese","Average ₹3,500 for two people (approx.) ","Today  12 Noon to 1 AM"
"Flip Bar & Kitchen","022 30151042","Shop 12, Opposite Vijay Sales, Sion Trombay Road, Suman Nagar, Chembur, Mumbai","American, Continental","Average ₹800 for two people (approx.)","Today  12 Noon to 1 AM"
"Mirchi And Mime","022 30151202","Transocean House, Lake Boulevard, Hiranandani Business Park, Powai, Mumbai","North Indian, South Indian, Mughlai","Average ₹1,500 for two people (approx.) ","Today  12:30 PM to 3 PM, 6:30 PM to 11 PM"
"JW Café - JW Marriott Mumbai Sahar","022 33956232","JW Marriott Mumbai Sahar, IA Project Road, Chhatrapati Shivaji International Airport, Mumbai Sahar, Chakala, Mumbai","Continental, Desserts, Italian, North Indian, Japanese, Thai","Average ₹4,000 for two people (approx.) ","Today  24 Hours"
"Garde Manger Cafe","+91 7045004488","Parmar CHS, Paranjape B Scheme, 1st Road Near Mahila Sangh School, Vile Parle East, Mumbai","Cafe","Average ₹650 for two people (approx.) ","Today  8 AM to 11 PM"
"Pa Pa Ya","+91 8828031900,  +91 8828032900","Level 3, Palladium Mall, Senapati Bapat Marg, Lower Parel, Mumbai","Sushi, Asian","Average ₹2,000 for two people (approx.)","Today  12 Noon to 3 PM, 7 PM to 11 PM"
"Peshawri - ITC Maratha","022 30151699","ITC Maratha, Sahar Road, Chakala, Mumbai","North Indian, Mughlai","Average ₹5,000 for two people (approx.) ","Today  12 Noon to 2:45 PM, 7 PM to 11:45 PM"
"The Fusion Kitchen","022 30151462","Shop 1, Opposite Veda Building, Near Bhavdevi Garage, Holy Cross Road, IC colony, Borivali West, Mumbai","North Indian, Italian, Chinese, Mexican","Average ₹1,000 for two people (approx.)","Today  12:30 PM to 3 PM, 7:30 PM to 11:30 PM"
"Harsh Chocolates","+91 9867080093","207, Empire, Azad Nagar, Veera Desai Road, Andheri West, Mumbai","Desserts","Average ₹200 for two people (approx.)","Today  9 AM to 9 PM"
"Shree Thaker Bhojanalay","022 22069916,  022 22011232","31, Dadisheth Agyari Lane, Off Kalbadevi Road, Kalbadevi, Mumbai","Gujarati","Average ₹1,000 for two people (approx.)","Today  11:30 AM to 3:30 PM, 7 PM to 10:30 PM"
